Dataset,Matrix_Name,Rows,Columns,NNZ,Mean_NNZ_Per_Row,Std_Dev_NNZ,Max_NNZ_Per_Row,Empty_Rows,Empty_Rows_Percent,Config_Threads,Config_Threshold,Short_Rows,Short_Rows_Percent,Long_Rows,Long_Rows_Percent,Launch_Blocks,Launch_Short_Blocks,Launch_Long_Blocks,Execution_Time_Seconds,Bandwidth_GB_s,Performance_GFLOPS,Arithmetic_Intensity
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,128,16,662,100.0,0,0.0,6,6,0,0.000007,4.03,0.47,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,128,32,662,100.0,0,0.0,6,6,0,0.000006,4.16,0.49,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,128,64,662,100.0,0,0.0,6,6,0,0.000006,4.16,0.49,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,128,128,662,100.0,0,0.0,6,6,0,0.000006,4.20,0.49,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,128,256,662,100.0,0,0.0,6,6,0,0.000007,4.07,0.48,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,256,16,662,100.0,0,0.0,3,3,0,0.000006,4.30,0.50,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,256,32,662,100.0,0,0.0,3,3,0,0.000006,4.40,0.52,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,256,64,662,100.0,0,0.0,3,3,0,0.000006,4.27,0.50,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,256,128,662,100.0,0,0.0,3,3,0,0.000006,4.41,0.52,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,256,256,662,100.0,0,0.0,3,3,0,0.000006,4.33,0.51,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,512,16,662,100.0,0,0.0,2,2,0,0.000006,4.23,0.50,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,512,32,662,100.0,0,0.0,2,2,0,0.000006,4.23,0.50,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,512,64,662,100.0,0,0.0,2,2,0,0.000006,4.16,0.49,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,512,128,662,100.0,0,0.0,2,2,0,0.000006,4.20,0.49,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,512,256,662,100.0,0,0.0,2,2,0,0.000006,4.20,0.49,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,1024,16,662,100.0,0,0.0,1,1,0,0.000006,4.24,0.50,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,1024,32,662,100.0,0,0.0,1,1,0,0.000006,4.22,0.49,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,1024,64,662,100.0,0,0.0,1,1,0,0.000006,4.34,0.51,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,1024,128,662,100.0,0,0.0,1,1,0,0.000006,4.31,0.51,0.117
662_bus,662_bus,662,662,1568,2.37,1.33,9,0,0.00,1024,256,662,100.0,0,0.0,1,1,0,0.000006,4.24,0.50,0.117
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,128,16,8111,4.5,170326,95.5,42646,64,42582,0.000289,247.53,40.02,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,128,32,82682,46.3,95755,53.7,24585,646,23939,0.000213,336.13,54.34,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,128,64,178437,100.0,0,0.0,1395,1395,0,0.000111,646.01,104.44,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,128,128,178437,100.0,0,0.0,1395,1395,0,0.000110,647.21,104.64,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,128,256,178437,100.0,0,0.0,1395,1395,0,0.000111,646.01,104.44,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,256,16,8111,4.5,170326,95.5,21323,32,21291,0.000306,233.41,37.74,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,256,32,82682,46.3,95755,53.7,12293,323,11970,0.000216,330.59,53.45,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,256,64,178437,100.0,0,0.0,698,698,0,0.000114,627.43,101.44,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,256,128,178437,100.0,0,0.0,698,698,0,0.000105,683.73,110.54,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,256,256,178437,100.0,0,0.0,698,698,0,0.000099,723.10,116.91,0.162
Goodwin_127,Goodwin_127,178437,178437,5778545,32.38,15.99,62,0,0.00,512,16,8111,4.5,170326,95.5,10662,16,10646,0.000330,216.54,35.01,0.162
